id,datum,region,altersgruppe,arbeitslosenquote
778,2001-02,Deutsche Schweiz,50-64 Jahre,1.3
779,2001-02,Deutsche Schweiz,65 und mehr,0.1
780,2001-02,Westschweiz und Tessin,15-24 Jahre,2.7
781,2001-02,Westschweiz und Tessin,25-49 Jahre,2.9
782,2001-02,Westschweiz und Tessin,50-64 Jahre,2.6
783,2001-02,Westschweiz und Tessin,65 und mehr,0.1
792,2001-03,Arbeitslosenquote,alle,1.7
785,2001-03,Deutsche Schweiz,25-49 Jahre,1.4
786,2001-03,Deutsche Schweiz,50-64 Jahre,1.3
787,2001-03,Deutsche Schweiz,65 und mehr,0.1
788,2001-03,Westschweiz und Tessin,15-24 Jahre,2.5
789,2001-03,Westschweiz und Tessin,25-49 Jahre,2.7
790,2001-03,Westschweiz und Tessin,50-64 Jahre,2.4
791,2001-03,Westschweiz und Tessin,65 und mehr,0.2
800,2001-04,Arbeitslosenquote,alle,1.6
793,2001-04,Deutsche Schweiz,25-49 Jahre,1.3
794,2001-04,Deutsche Schweiz,50-64 Jahre,1.2
795,2001-04,Deutsche Schweiz,65 und mehr,0.1
796,2001-04,Westschweiz und Tessin,15-24 Jahre,2.4
797,2001-04,Westschweiz und Tessin,25-49 Jahre,2.6
798,2001-04,Westschweiz und Tessin,50-64 Jahre,2.3
799,2001-04,Westschweiz und Tessin,65 und mehr,0.1
808,2001-05,Arbeitslosenquote,alle,1.5
801,2001-05,Deutsche Schweiz,25-49 Jahre,1.3
802,2001-05,Deutsche Schweiz,50-64 Jahre,1.2
803,2001-05,Deutsche Schweiz,65 und mehr,0.1
804,2001-05,Westschweiz und Tessin,15-24 Jahre,2.3
805,2001-05,Westschweiz und Tessin,25-49 Jahre,2.5
806,2001-05,Westschweiz und Tessin,50-64 Jahre,2.3
807,2001-05,Westschweiz und Tessin,65 und mehr,0.2
816,2001-06,Arbeitslosenquote,alle,1.5
809,2001-06,Deutsche Schweiz,25-49 Jahre,1.2
810,2001-06,Deutsche Schweiz,50-64 Jahre,1.1
811,2001-06,Deutsche Schweiz,65 und mehr,0.1
812,2001-06,Westschweiz und Tessin,15-24 Jahre,2.2
813,2001-06,Westschweiz und Tessin,25-49 Jahre,2.5
814,2001-06,Westschweiz und Tessin,50-64 Jahre,2.2
815,2001-06,Westschweiz und Tessin,65 und mehr,0.1
824,2001-07,Arbeitslosenquote,alle,1.5
817,2001-07,Deutsche Schweiz,25-49 Jahre,1.3
818,2001-07,Deutsche Schweiz,50-64 Jahre,1.1
819,2001-07,Deutsche Schweiz,65 und mehr,0.1
820,2001-07,Westschweiz und Tessin,15-24 Jahre,2.4
821,2001-07,Westschweiz und Tessin,25-49 Jahre,2.5
822,2001-07,Westschweiz und Tessin,50-64 Jahre,2.2
823,2001-07,Westschweiz und Tessin,65 und mehr,0.2
832,2001-08,Arbeitslosenquote,alle,1.5
825,2001-08,Deutsche Schweiz,25-49 Jahre,1.2
826,2001-08,Deutsche Schweiz,50-64 Jahre,1.1
827,2001-08,Deutsche Schweiz,65 und mehr,0.0
828,2001-08,Westschweiz und Tessin,15-24 Jahre,2.6
829,2001-08,Westschweiz und Tessin,25-49 Jahre,2.6
830,2001-08,Westschweiz und Tessin,50-64 Jahre,2.2
831,2001-08,Westschweiz und Tessin,65 und mehr,0.1
840,2001-09,Arbeitslosenquote,alle,1.6
833,2001-09,Deutsche Schweiz,25-49 Jahre,1.3
834,2001-09,Deutsche Schweiz,50-64 Jahre,1.1
835,2001-09,Deutsche Schweiz,65 und mehr,0.0
836,2001-09,Westschweiz und Tessin,15-24 Jahre,2.7
837,2001-09,Westschweiz und Tessin,25-49 Jahre,2.6
838,2001-09,Westschweiz und Tessin,50-64 Jahre,2.2
839,2001-09,Westschweiz und Tessin,65 und mehr,0.1
848,2001-10,Arbeitslosenquote,alle,1.7
841,2001-10,Deutsche Schweiz,25-49 Jahre,1.4
842,2001-10,Deutsche Schweiz,50-64 Jahre,1.2
843,2001-10,Deutsche Schweiz,65 und mehr,0.1
844,2001-10,Westschweiz und Tessin,15-24 Jahre,3.0
845,2001-10,Westschweiz und Tessin,25-49 Jahre,2.8
846,2001-10,Westschweiz und Tessin,50-64 Jahre,2.3
847,2001-10,Westschweiz und Tessin,65 und mehr,0.1
856,2001-11,Arbeitslosenquote,alle,2.0
849,2001-11,Deutsche Schweiz,25-49 Jahre,1.7
850,2001-11,Deutsche Schweiz,50-64 Jahre,1.3
851,2001-11,Deutsche Schweiz,65 und mehr,0.1
852,2001-11,Westschweiz und Tessin,15-24 Jahre,3.4
853,2001-11,Westschweiz und Tessin,25-49 Jahre,3.1
854,2001-11,Westschweiz und Tessin,50-64 Jahre,2.4
855,2001-11,Westschweiz und Tessin,65 und mehr,0.1
864,2001-12,Arbeitslosenquote,alle,2.2
857,2001-12,Deutsche Schweiz,25-49 Jahre,1.9
858,2001-12,Deutsche Schweiz,50-64 Jahre,1.5
859,2001-12,Deutsche Schweiz,65 und mehr,0.0
860,2001-12,Westschweiz und Tessin,15-24 Jahre,3.6
861,2001-12,Westschweiz und Tessin,25-49 Jahre,3.4
862,2001-12,Westschweiz und Tessin,50-64 Jahre,2.6
863,2001-12,Westschweiz und Tessin,65 und mehr,0.2
872,2002-01,Arbeitslosenquote,alle,2.4
865,2002-01,Deutsche Schweiz,25-49 Jahre,2.1
866,2002-01,Deutsche Schweiz,50-64 Jahre,1.6
867,2002-01,Deutsche Schweiz,65 und mehr,0.1
868,2002-01,Westschweiz und Tessin,15-24 Jahre,3.8
869,2002-01,Westschweiz und Tessin,25-49 Jahre,3.7
870,2002-01,Westschweiz und Tessin,50-64 Jahre,2.9
871,2002-01,Westschweiz und Tessin,65 und mehr,0.1
880,2002-02,Arbeitslosenquote,alle,2.4
873,2002-02,Deutsche Schweiz,25-49 Jahre,2.1
874,2002-02,Deutsche Schweiz,50-64 Jahre,1.7
875,2002-02,Deutsche Schweiz,65 und mehr,0.1
876,2002-02,Westschweiz und Tessin,15-24 Jahre,3.7
877,2002-02,Westschweiz und Tessin,25-49 Jahre,3.6
878,2002-02,Westschweiz und Tessin,50-64 Jahre,2.9
879,2002-02,Westschweiz und Tessin,65 und mehr,0.1
888,2002-03,Arbeitslosenquote,alle,2.3
881,2002-03,Deutsche Schweiz,25-49 Jahre,2.1
882,2002-03,Deutsche Schweiz,50-64 Jahre,1.7
883,2002-03,Deutsche Schweiz,65 und mehr,0.1
884,2002-03,Westschweiz und Tessin,15-24 Jahre,3.5
885,2002-03,Westschweiz und Tessin,25-49 Jahre,3.4
886,2002-03,Westschweiz und Tessin,50-64 Jahre,2.7
887,2002-03,Westschweiz und Tessin,65 und mehr,0.1
896,2002-04,Arbeitslosenquote,alle,2.3
889,2002-04,Deutsche Schweiz,25-49 Jahre,2.1
890,2002-04,Deutsche Schweiz,50-64 Jahre,1.7
891,2002-04,Deutsche Schweiz,65 und mehr,0.1
892,2002-04,Westschweiz und Tessin,15-24 Jahre,3.3
893,2002-04,Westschweiz und Tessin,25-49 Jahre,3.4
894,2002-04,Westschweiz und Tessin,50-64 Jahre,2.7
895,2002-04,Westschweiz und Tessin,65 und mehr,0.1
904,2002-05,Arbeitslosenquote,alle,2.3
897,2002-05,Deutsche Schweiz,25-49 Jahre,2.1
898,2002-05,Deutsche Schweiz,50-64 Jahre,1.7
899,2002-05,Deutsche Schweiz,65 und mehr,0.1
900,2002-05,Westschweiz und Tessin,15-24 Jahre,3.2
901,2002-05,Westschweiz und Tessin,25-49 Jahre,3.3
902,2002-05,Westschweiz und Tessin,50-64 Jahre,2.6
903,2002-05,Westschweiz und Tessin,65 und mehr,0.2
912,2002-06,Arbeitslosenquote,alle,2.3
905,2002-06,Deutsche Schweiz,25-49 Jahre,2.1
906,2002-06,Deutsche Schweiz,50-64 Jahre,1.7
907,2002-06,Deutsche Schweiz,65 und mehr,0.1
908,2002-06,Westschweiz und Tessin,15-24 Jahre,3.1
909,2002-06,Westschweiz und Tessin,25-49 Jahre,3.3
910,2002-06,Westschweiz und Tessin,50-64 Jahre,2.6
911,2002-06,Westschweiz und Tessin,65 und mehr,0.1
920,2002-07,Arbeitslosenquote,alle,2.4
913,2002-07,Deutsche Schweiz,25-49 Jahre,2.2
914,2002-07,Deutsche Schweiz,50-64 Jahre,1.7
915,2002-07,Deutsche Schweiz,65 und mehr,0.1
916,2002-07,Westschweiz und Tessin,15-24 Jahre,3.4
917,2002-07,Westschweiz und Tessin,25-49 Jahre,3.4
918,2002-07,Westschweiz und Tessin,50-64 Jahre,2.7
919,2002-07,Westschweiz und Tessin,65 und mehr,0.1
928,2002-08,Arbeitslosenquote,alle,2.4
921,2002-08,Deutsche Schweiz,25-49 Jahre,2.2
922,2002-08,Deutsche Schweiz,50-64 Jahre,1.7
923,2002-08,Deutsche Schweiz,65 und mehr,0.0
924,2002-08,Westschweiz und Tessin,15-24 Jahre,3.7
925,2002-08,Westschweiz und Tessin,25-49 Jahre,3.5
926,2002-08,Westschweiz und Tessin,50-64 Jahre,2.7
927,2002-08,Westschweiz und Tessin,65 und mehr,0.2
936,2002-09,Arbeitslosenquote,alle,2.6
929,2002-09,Deutsche Schweiz,25-49 Jahre,2.3
930,2002-09,Deutsche Schweiz,50-64 Jahre,1.8
931,2002-09,Deutsche Schweiz,65 und mehr,0.1
932,2002-09,Westschweiz und Tessin,15-24 Jahre,4.1
933,2002-09,Westschweiz und Tessin,25-49 Jahre,3.6
934,2002-09,Westschweiz und Tessin,50-64 Jahre,2.8
935,2002-09,Westschweiz und Tessin,65 und mehr,0.1
944,2002-10,Arbeitslosenquote,alle,2.8
937,2002-10,Deutsche Schweiz,25-49 Jahre,2.5
938,2002-10,Deutsche Schweiz,50-64 Jahre,2.0
939,2002-10,Deutsche Schweiz,65 und mehr,0.1
940,2002-10,Westschweiz und Tessin,15-24 Jahre,4.5
941,2002-10,Westschweiz und Tessin,25-49 Jahre,3.8
942,2002-10,Westschweiz und Tessin,50-64 Jahre,3.0
943,2002-10,Westschweiz und Tessin,65 und mehr,0.1
952,2002-11,Arbeitslosenquote,alle,3.1
945,2002-11,Deutsche Schweiz,25-49 Jahre,2.8
946,2002-11,Deutsche Schweiz,50-64 Jahre,2.1
947,2002-11,Deutsche Schweiz,65 und mehr,0.1
948,2002-11,Westschweiz und Tessin,15-24 Jahre,4.9
949,2002-11,Westschweiz und Tessin,25-49 Jahre,4.1
950,2002-11,Westschweiz und Tessin,50-64 Jahre,3.2
951,2002-11,Westschweiz und Tessin,65 und mehr,0.1
960,2002-12,Arbeitslosenquote,alle,3.3
953,2002-12,Deutsche Schweiz,25-49 Jahre,3.0
954,2002-12,Deutsche Schweiz,50-64 Jahre,2.3
955,2002-12,Deutsche Schweiz,65 und mehr,0.1
956,2002-12,Westschweiz und Tessin,15-24 Jahre,5.2
957,2002-12,Westschweiz und Tessin,25-49 Jahre,4.5
958,2002-12,Westschweiz und Tessin,50-64 Jahre,3.4
959,2002-12,Westschweiz und Tessin,65 und mehr,0.1
968,2003-01,Arbeitslosenquote,alle,3.5
961,2003-01,Deutsche Schweiz,25-49 Jahre,3.2
962,2003-01,Deutsche Schweiz,50-64 Jahre,2.4
963,2003-01,Deutsche Schweiz,65 und mehr,0.1
964,2003-01,Westschweiz und Tessin,15-24 Jahre,5.5
965,2003-01,Westschweiz und Tessin,25-49 Jahre,4.8
966,2003-01,Westschweiz und Tessin,50-64 Jahre,3.6
967,2003-01,Westschweiz und Tessin,65 und mehr,0.2
976,2003-02,Arbeitslosenquote,alle,3.6
969,2003-02,Deutsche Schweiz,25-49 Jahre,3.3
970,2003-02,Deutsche Schweiz,50-64 Jahre,2.5
971,2003-02,Deutsche Schweiz,65 und mehr,0.1
972,2003-02,Westschweiz und Tessin,15-24 Jahre,5.5
973,2003-02,Westschweiz und Tessin,25-49 Jahre,4.9
974,2003-02,Westschweiz und Tessin,50-64 Jahre,3.7
975,2003-02,Westschweiz und Tessin,65 und mehr,0.1
984,2003-03,Arbeitslosenquote,alle,3.6
977,2003-03,Deutsche Schweiz,25-49 Jahre,3.4
978,2003-03,Deutsche Schweiz,50-64 Jahre,2.6
979,2003-03,Deutsche Schweiz,65 und mehr,0.1
980,2003-03,Westschweiz und Tessin,15-24 Jahre,5.3
981,2003-03,Westschweiz und Tessin,25-49 Jahre,4.7
982,2003-03,Westschweiz und Tessin,50-64 Jahre,3.6
983,2003-03,Westschweiz und Tessin,65 und mehr,0.2
992,2003-04,Arbeitslosenquote,alle,3.6
985,2003-04,Deutsche Schweiz,25-49 Jahre,3.4
986,2003-04,Deutsche Schweiz,50-64 Jahre,2.6
987,2003-04,Deutsche Schweiz,65 und mehr,0.1
988,2003-04,Westschweiz und Tessin,15-24 Jahre,5.1
989,2003-04,Westschweiz und Tessin,25-49 Jahre,4.7
990,2003-04,Westschweiz und Tessin,50-64 Jahre,3.6
991,2003-04,Westschweiz und Tessin,65 und mehr,0.1
1000,2003-05,Arbeitslosenquote,alle,3.6
993,2003-05,Deutsche Schweiz,25-49 Jahre,3.4
994,2003-05,Deutsche Schweiz,50-64 Jahre,2.6
995,2003-05,Deutsche Schweiz,65 und mehr,0.1
996,2003-05,Westschweiz und Tessin,15-24 Jahre,5.0
997,2003-05,Westschweiz und Tessin,25-49 Jahre,4.7
998,2003-05,Westschweiz und Tessin,50-64 Jahre,3.6
999,2003-05,Westschweiz und Tessin,65 und mehr,0.2
1008,2003-06,Arbeitslosenquote,alle,3.6
1001,2003-06,Deutsche Schweiz,25-49 Jahre,3.4
1002,2003-06,Deutsche Schweiz,50-64 Jahre,2.6
1003,2003-06,Deutsche Schweiz,65 und mehr,0.1
1004,2003-06,Westschweiz und Tessin,15-24 Jahre,4.9
1005,2003-06,Westschweiz und Tessin,25-49 Jahre,4.7
1006,2003-06,Westschweiz und Tessin,50-64 Jahre,3.5
1007,2003-06,Westschweiz und Tessin,65 und mehr,0.2
1016,2003-07,Arbeitslosenquote,alle,3.6
1009,2003-07,Deutsche Schweiz,25-49 Jahre,3.4
1010,2003-07,Deutsche Schweiz,50-64 Jahre,2.7
1011,2003-07,Deutsche Schweiz,65 und mehr,0.1
1012,2003-07,Westschweiz und Tessin,15-24 Jahre,5.1
1013,2003-07,Westschweiz und Tessin,25-49 Jahre,4.7
1014,2003-07,Westschweiz und Tessin,50-64 Jahre,3.6
1015,2003-07,Westschweiz und Tessin,65 und mehr,0.1
1024,2003-08,Arbeitslosenquote,alle,3.6
1017,2003-08,Deutsche Schweiz,25-49 Jahre,3.4
1018,2003-08,Deutsche Schweiz,50-64 Jahre,2.7
1019,2003-08,Deutsche Schweiz,65 und mehr,0.1
1020,2003-08,Westschweiz und Tessin,15-24 Jahre,5.4
1021,2003-08,Westschweiz und Tessin,25-49 Jahre,4.7
1022,2003-08,Westschweiz und Tessin,50-64 Jahre,3.6
1023,2003-08,Westschweiz und Tessin,65 und mehr,0.1
1032,2003-09,Arbeitslosenquote,alle,3.7
1025,2003-09,Deutsche Schweiz,25-49 Jahre,3.4
1026,2003-09,Deutsche Schweiz,50-64 Jahre,2.7
1027,2003-09,Deutsche Schweiz,65 und mehr,0.1
1028,2003-09,Westschweiz und Tessin,15-24 Jahre,5.8
1029,2003-09,Westschweiz und Tessin,25-49 Jahre,4.7
1030,2003-09,Westschweiz und Tessin,50-64 Jahre,3.6
1031,2003-09,Westschweiz und Tessin,65 und mehr,0.2
1040,2003-10,Arbeitslosenquote,alle,3.8
1033,2003-10,Deutsche Schweiz,25-49 Jahre,3.5
1034,2003-10,Deutsche Schweiz,50-64 Jahre,2.8
1035,2003-10,Deutsche Schweiz,65 und mehr,0.1
1036,2003-10,Westschweiz und Tessin,15-24 Jahre,6.1
1037,2003-10,Westschweiz und Tessin,25-49 Jahre,4.9
1038,2003-10,Westschweiz und Tessin,50-64 Jahre,3.8
1039,2003-10,Westschweiz und Tessin,65 und mehr,0.1
1048,2003-11,Arbeitslosenquote,alle,4.0
1041,2003-11,Deutsche Schweiz,25-49 Jahre,3.6
1042,2003-11,Deutsche Schweiz,50-64 Jahre,2.9
1043,2003-11,Deutsche Schweiz,65 und mehr,0.1
1044,2003-11,Westschweiz und Tessin,15-24 Jahre,6.4
1045,2003-11,Westschweiz und Tessin,25-49 Jahre,5.1
1046,2003-11,Westschweiz und Tessin,50-64 Jahre,3.9
1047,2003-11,Westschweiz und Tessin,65 und mehr,0.2
1056,2003-12,Arbeitslosenquote,alle,4.1
1049,2003-12,Deutsche Schweiz,25-49 Jahre,3.8
1050,2003-12,Deutsche Schweiz,50-64 Jahre,3.0
1051,2003-12,Deutsche Schweiz,65 und mehr,0.1
1052,2003-12,Westschweiz und Tessin,15-24 Jahre,6.5
1053,2003-12,Westschweiz und Tessin,25-49 Jahre,5.4
1054,2003-12,Westschweiz und Tessin,50-64 Jahre,4.1
1055,2003-12,Westschweiz und Tessin,65 und mehr,0.2
1064,2004-01,Arbeitslosenquote,alle,4.3
1057,2004-01,Deutsche Schweiz,25-49 Jahre,3.9
1058,2004-01,Deutsche Schweiz,50-64 Jahre,3.1
1059,2004-01,Deutsche Schweiz,65 und mehr,0.2
1060,2004-01,Westschweiz und Tessin,15-24 Jahre,6.7
1061,2004-01,Westschweiz und Tessin,25-49 Jahre,5.6
1062,2004-01,Westschweiz und Tessin,50-64 Jahre,4.3
1063,2004-01,Westschweiz und Tessin,65 und mehr,0.2
1072,2004-02,Arbeitslosenquote,alle,4.2
1065,2004-02,Deutsche Schweiz,25-49 Jahre,3.8
1066,2004-02,Deutsche Schweiz,50-64 Jahre,3.1
1067,2004-02,Deutsche Schweiz,65 und mehr,0.2
1068,2004-02,Westschweiz und Tessin,15-24 Jahre,6.6
1069,2004-02,Westschweiz und Tessin,25-49 Jahre,5.5
1070,2004-02,Westschweiz und Tessin,50-64 Jahre,4.2
1071,2004-02,Westschweiz und Tessin,65 und mehr,0.2
1080,2004-03,Arbeitslosenquote,alle,4.1
1073,2004-03,Deutsche Schweiz,25-49 Jahre,3.7
1074,2004-03,Deutsche Schweiz,50-64 Jahre,3.1
1075,2004-03,Deutsche Schweiz,65 und mehr,0.2
1076,2004-03,Westschweiz und Tessin,15-24 Jahre,6.2
1077,2004-03,Westschweiz und Tessin,25-49 Jahre,5.3
1078,2004-03,Westschweiz und Tessin,50-64 Jahre,4.1
1079,2004-03,Westschweiz und Tessin,65 und mehr,0.3
1088,2004-04,Arbeitslosenquote,alle,3.9
1081,2004-04,Deutsche Schweiz,25-49 Jahre,3.6
1082,2004-04,Deutsche Schweiz,50-64 Jahre,3.0
1083,2004-04,Deutsche Schweiz,65 und mehr,0.2
1084,2004-04,Westschweiz und Tessin,15-24 Jahre,6.0
1085,2004-04,Westschweiz und Tessin,25-49 Jahre,5.2
1086,2004-04,Westschweiz und Tessin,50-64 Jahre,4.0
1087,2004-04,Westschweiz und Tessin,65 und mehr,0.2
1096,2004-05,Arbeitslosenquote,alle,3.8
1089,2004-05,Deutsche Schweiz,25-49 Jahre,3.5
1090,2004-05,Deutsche Schweiz,50-64 Jahre,2.9
1091,2004-05,Deutsche Schweiz,65 und mehr,0.2
1092,2004-05,Westschweiz und Tessin,15-24 Jahre,5.6
1093,2004-05,Westschweiz und Tessin,25-49 Jahre,5.1
1094,2004-05,Westschweiz und Tessin,50-64 Jahre,4.0
1095,2004-05,Westschweiz und Tessin,65 und mehr,0.2
1104,2004-06,Arbeitslosenquote,alle,3.7
1097,2004-06,Deutsche Schweiz,25-49 Jahre,3.3
1098,2004-06,Deutsche Schweiz,50-64 Jahre,2.9
1099,2004-06,Deutsche Schweiz,65 und mehr,0.1
1100,2004-06,Westschweiz und Tessin,15-24 Jahre,5.4
1101,2004-06,Westschweiz und Tessin,25-49 Jahre,5.0
1102,2004-06,Westschweiz und Tessin,50-64 Jahre,3.9
1103,2004-06,Westschweiz und Tessin,65 und mehr,0.2
1112,2004-07,Arbeitslosenquote,alle,3.6
1105,2004-07,Deutsche Schweiz,25-49 Jahre,3.2
1106,2004-07,Deutsche Schweiz,50-64 Jahre,2.8
1107,2004-07,Deutsche Schweiz,65 und mehr,0.1
1108,2004-07,Westschweiz und Tessin,15-24 Jahre,5.7
1109,2004-07,Westschweiz und Tessin,25-49 Jahre,4.9
1110,2004-07,Westschweiz und Tessin,50-64 Jahre,3.9
1111,2004-07,Westschweiz und Tessin,65 und mehr,0.2
1120,2004-08,Arbeitslosenquote,alle,3.7
1113,2004-08,Deutsche Schweiz,25-49 Jahre,3.1
1114,2004-08,Deutsche Schweiz,50-64 Jahre,2.8
1115,2004-08,Deutsche Schweiz,65 und mehr,0.1
1116,2004-08,Westschweiz und Tessin,15-24 Jahre,6.3
1117,2004-08,Westschweiz und Tessin,25-49 Jahre,5.0
1118,2004-08,Westschweiz und Tessin,50-64 Jahre,3.9
1119,2004-08,Westschweiz und Tessin,65 und mehr,0.1
1128,2004-09,Arbeitslosenquote,alle,3.7
1121,2004-09,Deutsche Schweiz,25-49 Jahre,3.1
1122,2004-09,Deutsche Schweiz,50-64 Jahre,2.8
1123,2004-09,Deutsche Schweiz,65 und mehr,0.1
1124,2004-09,Westschweiz und Tessin,15-24 Jahre,6.5
1125,2004-09,Westschweiz und Tessin,25-49 Jahre,5.0
1126,2004-09,Westschweiz und Tessin,50-64 Jahre,3.9
1127,2004-09,Westschweiz und Tessin,65 und mehr,0.2
1136,2004-10,Arbeitslosenquote,alle,3.7
1129,2004-10,Deutsche Schweiz,25-49 Jahre,3.1
1130,2004-10,Deutsche Schweiz,50-64 Jahre,2.8
1131,2004-10,Deutsche Schweiz,65 und mehr,0.1
1132,2004-10,Westschweiz und Tessin,15-24 Jahre,6.6
1133,2004-10,Westschweiz und Tessin,25-49 Jahre,5.2
1134,2004-10,Westschweiz und Tessin,50-64 Jahre,4.1
1135,2004-10,Westschweiz und Tessin,65 und mehr,0.2
1144,2004-11,Arbeitslosenquote,alle,3.9
1137,2004-11,Deutsche Schweiz,25-49 Jahre,3.3
1138,2004-11,Deutsche Schweiz,50-64 Jahre,2.9
1139,2004-11,Deutsche Schweiz,65 und mehr,0.1
1140,2004-11,Westschweiz und Tessin,15-24 Jahre,6.7
1141,2004-11,Westschweiz und Tessin,25-49 Jahre,5.4
1142,2004-11,Westschweiz und Tessin,50-64 Jahre,4.2
1143,2004-11,Westschweiz und Tessin,65 und mehr,0.2
1152,2004-12,Arbeitslosenquote,alle,4.0
1145,2004-12,Deutsche Schweiz,25-49 Jahre,3.4
1146,2004-12,Deutsche Schweiz,50-64 Jahre,3.0
1147,2004-12,Deutsche Schweiz,65 und mehr,0.1
1148,2004-12,Westschweiz und Tessin,15-24 Jahre,6.8
1149,2004-12,Westschweiz und Tessin,25-49 Jahre,5.7
1150,2004-12,Westschweiz und Tessin,50-64 Jahre,4.4
1151,2004-12,Westschweiz und Tessin,65 und mehr,0.2
1160,2005-01,Arbeitslosenquote,alle,4.1
1153,2005-01,Deutsche Schweiz,25-49 Jahre,3.5
1154,2005-01,Deutsche Schweiz,50-64 Jahre,3.0
1155,2005-01,Deutsche Schweiz,65 und mehr,0.2
1156,2005-01,Westschweiz und Tessin,15-24 Jahre,6.9
1157,2005-01,Westschweiz und Tessin,25-49 Jahre,5.9
1158,2005-01,Westschweiz und Tessin,50-64 Jahre,4.6
1159,2005-01,Westschweiz und Tessin,65 und mehr,0.2
1168,2005-02,Arbeitslosenquote,alle,4.1
1161,2005-02,Deutsche Schweiz,25-49 Jahre,3.4
1162,2005-02,Deutsche Schweiz,50-64 Jahre,3.0
1163,2005-02,Deutsche Schweiz,65 und mehr,0.2
1164,2005-02,Westschweiz und Tessin,15-24 Jahre,6.8
1165,2005-02,Westschweiz und Tessin,25-49 Jahre,5.8
1166,2005-02,Westschweiz und Tessin,50-64 Jahre,4.6
1167,2005-02,Westschweiz und Tessin,65 und mehr,0.3
1176,2005-03,Arbeitslosenquote,alle,3.9
1169,2005-03,Deutsche Schweiz,25-49 Jahre,3.4
1170,2005-03,Deutsche Schweiz,50-64 Jahre,3.0
1171,2005-03,Deutsche Schweiz,65 und mehr,0.2
1172,2005-03,Westschweiz und Tessin,15-24 Jahre,6.4
1173,2005-03,Westschweiz und Tessin,25-49 Jahre,5.6
1174,2005-03,Westschweiz und Tessin,50-64 Jahre,4.4
1175,2005-03,Westschweiz und Tessin,65 und mehr,0.3
1184,2005-04,Arbeitslosenquote,alle,3.8
1177,2005-04,Deutsche Schweiz,25-49 Jahre,3.3
1178,2005-04,Deutsche Schweiz,50-64 Jahre,2.9
1179,2005-04,Deutsche Schweiz,65 und mehr,0.2
1180,2005-04,Westschweiz und Tessin,15-24 Jahre,6.2
1181,2005-04,Westschweiz und Tessin,25-49 Jahre,5.4
1182,2005-04,Westschweiz und Tessin,50-64 Jahre,4.3
1183,2005-04,Westschweiz und Tessin,65 und mehr,0.3
1192,2005-05,Arbeitslosenquote,alle,3.7
1185,2005-05,Deutsche Schweiz,25-49 Jahre,3.1
1186,2005-05,Deutsche Schweiz,50-64 Jahre,2.9
1187,2005-05,Deutsche Schweiz,65 und mehr,0.2
1188,2005-05,Westschweiz und Tessin,15-24 Jahre,5.8
1189,2005-05,Westschweiz und Tessin,25-49 Jahre,5.3
1190,2005-05,Westschweiz und Tessin,50-64 Jahre,4.3
1191,2005-05,Westschweiz und Tessin,65 und mehr,0.2
1200,2005-06,Arbeitslosenquote,alle,3.6
1193,2005-06,Deutsche Schweiz,25-49 Jahre,3.0
1194,2005-06,Deutsche Schweiz,50-64 Jahre,2.8
1195,2005-06,Deutsche Schweiz,65 und mehr,0.2
1196,2005-06,Westschweiz und Tessin,15-24 Jahre,5.6
1197,2005-06,Westschweiz und Tessin,25-49 Jahre,5.1
1198,2005-06,Westschweiz und Tessin,50-64 Jahre,4.2
1199,2005-06,Westschweiz und Tessin,65 und mehr,0.3
1208,2005-07,Arbeitslosenquote,alle,3.5
1201,2005-07,Deutsche Schweiz,25-49 Jahre,2.9
1202,2005-07,Deutsche Schweiz,50-64 Jahre,2.8
1203,2005-07,Deutsche Schweiz,65 und mehr,0.2
1204,2005-07,Westschweiz und Tessin,15-24 Jahre,5.8
1205,2005-07,Westschweiz und Tessin,25-49 Jahre,5.0
1206,2005-07,Westschweiz und Tessin,50-64 Jahre,4.1
1207,2005-07,Westschweiz und Tessin,65 und mehr,0.2
1216,2005-08,Arbeitslosenquote,alle,3.6
1209,2005-08,Deutsche Schweiz,25-49 Jahre,2.9
1210,2005-08,Deutsche Schweiz,50-64 Jahre,2.7
1211,2005-08,Deutsche Schweiz,65 und mehr,0.1
1212,2005-08,Westschweiz und Tessin,15-24 Jahre,6.3
1213,2005-08,Westschweiz und Tessin,25-49 Jahre,4.9
1214,2005-08,Westschweiz und Tessin,50-64 Jahre,4.1
1215,2005-08,Westschweiz und Tessin,65 und mehr,0.2
1224,2005-09,Arbeitslosenquote,alle,3.6
1217,2005-09,Deutsche Schweiz,25-49 Jahre,2.9
1218,2005-09,Deutsche Schweiz,50-64 Jahre,2.7
1219,2005-09,Deutsche Schweiz,65 und mehr,0.2
1220,2005-09,Westschweiz und Tessin,15-24 Jahre,6.5
1221,2005-09,Westschweiz und Tessin,25-49 Jahre,4.9
1222,2005-09,Westschweiz und Tessin,50-64 Jahre,4.2
1223,2005-09,Westschweiz und Tessin,65 und mehr,0.2
1232,2005-10,Arbeitslosenquote,alle,3.7
1225,2005-10,Deutsche Schweiz,25-49 Jahre,3.0
1226,2005-10,Deutsche Schweiz,50-64 Jahre,2.8
1227,2005-10,Deutsche Schweiz,65 und mehr,0.2
1228,2005-10,Westschweiz und Tessin,15-24 Jahre,6.5
1229,2005-10,Westschweiz und Tessin,25-49 Jahre,5.0
1230,2005-10,Westschweiz und Tessin,50-64 Jahre,4.3
1231,2005-10,Westschweiz und Tessin,65 und mehr,0.2
